timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_082044,71183.53,102630.5,4.138334889573005,100706.5,4.060754089250114
20250411_082055,71193.56,102592.0,4.1367824671133215,0.0,0.0
20250411_082105,71203.6,102544.5,4.134867140702023,100645.5,4.058294406911394
20250411_082115,71213.63,102601.5,4.1371655323955805,100620.5,4.057286340379132
20250411_082125,71223.66,102593.0,4.136822789774612,100692.5,4.060189571992048
20250411_082135,71233.7,102598.0,4.137024403081065,100809.5,4.064907323363034
20250411_082145,71243.73,102705.0,4.141338927839146,100667.0,4.05916134412914
20250411_082155,71253.76,102644.0,4.138879245500426,100714.5,4.061076670540438
20250411_082205,71263.79,102581.0,4.136338917839126,100656.5,4.05873795618559
20250411_082215,71273.82,102599.5,4.137084887073,100636.0,4.057911341629135
20250411_082225,71283.85,102609.0,4.13746795235526,0.0,0.0
20250411_082235,71293.89,102665.5,4.139746182718172,100556.0,4.054685528725896
20250411_082245,71303.92,102631.0,4.13835505090365,100727.5,4.061600865137214
20250411_082255,71313.95,102612.0,4.137588920339131,0.0,0.0
20250411_082305,71323.98,102672.5,4.140028441347205,100712.0,4.060975863887212
20250411_082315,71334.02,102508.5,4.133415524895566,100758.5,4.062850867637219
20250411_082325,71344.05,102595.0,4.136903435097193,100688.5,4.060028281346885
20250411_082335,71354.08,102673.0,4.140048602677851,100648.5,4.058415374895266
20250411_082345,71364.11,102609.5,4.137488113685905,100593.5,4.0561976285242896
20250411_082355,71374.15,102552.5,4.135189721992347,100705.0,4.060693605258178
20250411_082405,71384.18,102630.5,4.138334889573005,100640.5,4.058092793604942
20250411_082415,71394.21,102572.5,4.135996175218157,100607.5,4.056762145782356
20250411_082425,71404.24,102539.5,4.134665527395571,100650.5,4.058496020217847
20250411_082435,71414.28,102575.5,4.1361171432020285,100687.5,4.059987958685595
20250411_082445,71424.31,102603.0,4.137226016387516,100684.5,4.059866990701724
20250411_082455,71434.34,102573.0,4.136016336548803,100692.0,4.060169410661402
20250411_082505,71444.37,102567.5,4.1357945619117045,100670.0,4.059282312113012
20250411_082515,71454.41,102600.5,4.1371252097342905,100713.0,4.0610161865485015
20250411_082525,71464.44,102595.5,4.136923596427838,100651.5,4.058536342879137
20250411_082535,71474.47,102541.5,4.134746172718152,100701.5,4.060552475943662
20250411_082545,71484.5,102543.5,4.134826818040732,100759.0,4.062871028967864
20250411_082555,71494.53,102575.0,4.136096981871384,100693.0,4.060209733322693
20250411_082606,71504.57,102573.0,4.136016336548803,100709.5,4.060875057233986
20250411_082616,71514.6,102634.0,4.138476018887522,100642.0,4.058153277596878
20250411_082626,71524.63,102714.5,4.141721993121406,100678.0,4.059604893403336
20250411_082636,71534.67,102558.5,4.1354316579600905,100602.0,4.056540371145259
20250411_082646,71544.7,102558.5,4.1354316579600905,100627.0,4.057548437677521
20250411_082656,71554.73,102612.0,4.137588920339131,100681.0,4.059725861387207
20250411_082706,71564.76,102593.5,4.1368429511052565,100657.5,4.05877827884688
20250411_082716,71574.79,102607.5,4.137407468363324,100797.5,4.064423451427548
20250411_082726,71584.83,102607.5,4.137407468363324,0.0,0.0
20250411_082736,71594.86,102554.0,4.135250205984283,0.0,0.0
20250411_082746,71604.89,102671.0,4.13996795735527,100646.0,4.058314568242039
20250411_082756,71614.92,102632.0,4.138395373564941,100745.0,4.062306511709798
20250411_082806,71624.96,102619.5,4.137891340298809,100678.0,4.059604893403336
20250411_082816,71634.99,102590.5,4.136721983121386,100682.0,4.059766184048497
20250411_082826,71645.02,102563.5,4.135633271266543,100596.0,4.056298435177515
20250411_082836,71655.05,102647.5,4.139020374814943,100718.5,4.0612379611856
20250411_082846,71665.09,102685.5,4.1405526359439815,100701.5,4.060552475943662
