timestamp,elapsed_time,Test_fast_Dissolving_1_avg_intensity,Test_fast_Dissolving_1_std_intensity,Test_fast_Dissolving_1_min_intensity,Test_fast_Dissolving_1_max_intensity
15_20_17,971.79,218.21587857142856,2.3528015245291156,202,232
15_20_20,973.87,218.1609,2.7847371850858744,193,236
15_20_22,975.97,218.15750714285716,2.551104536684422,201,234
15_20_24,978.06,218.25227142857142,3.003216463448237,196,235
15_20_26,980.15,218.10106071428572,2.5943725397261677,199,233
15_20_28,982.23,217.92697142857142,2.4168771998559775,197,233
15_20_30,984.34,218.99954642857142,2.7016376927420134,201,236
15_20_32,986.41,218.24421785714287,2.4247128981082584,199,232
15_20_34,988.51,218.6128892857143,3.1308497720084243,202,238
15_20_36,990.59,218.39865357142858,2.8012434052937154,195,235
15_20_38,992.69,217.79550714285713,2.4288086056348948,200,234
15_20_40,994.78,218.14981428571429,2.4817041886163467,191,233
15_20_42,996.80,218.44813214285713,3.0428174931835756,203,235
15_20_45,998.89,217.9002392857143,2.5965419200818505,194,234
15_20_47,1000.97,218.26354642857143,2.46926617091888,200,232
15_20_49,1003.06,218.57835357142858,2.6740612511659574,197,236
15_20_51,1005.16,217.93589642857143,2.828491776924604,203,236
15_20_53,1007.24,217.75252857142857,2.495969758410137,191,234
15_20_55,1009.35,218.40804285714285,2.6059946603152966,202,234
15_20_57,1011.43,218.63855,2.728490615772233,199,236
15_20_59,1013.53,217.69147857142858,2.46159360974569,200,233
15_21_01,1015.60,218.3533857142857,3.6912179515046524,183,239
15_21_03,1017.71,218.70367142857143,2.731188272118036,202,233
15_21_05,1019.78,217.98143214285713,2.462052327480582,191,234
15_21_08,1021.88,218.593875,2.445515206910835,204,233
15_21_10,1023.96,218.56021071428572,2.457713010364265,201,234
15_21_12,1026.07,218.54208571428572,2.4277959301323797,201,232
15_21_14,1028.14,218.26095357142856,2.8109784172295065,198,239
15_21_16,1030.25,218.46033571428572,2.477235994613796,201,234
15_21_18,1032.33,218.65878214285715,2.75006279454976,197,236
15_21_20,1034.43,218.38226785714286,2.314708374034185,201,232
15_21_22,1036.50,218.28978571428573,2.567944416359163,194,232
15_21_24,1038.61,218.67820714285713,2.775624652980783,199,233
15_21_26,1040.68,218.38219642857143,3.8987059433669002,173,237
15_21_28,1042.79,218.4605,2.357922155809462,200,232
15_21_31,1044.86,217.826675,2.3635198965775293,197,232
15_21_33,1046.97,218.56549642857144,2.391306323357613,202,233
15_21_35,1049.04,217.57207857142856,6.200590787022818,172,239
15_21_37,1051.15,217.85320714285714,2.527075186841297,201,233
15_21_39,1053.23,218.05667857142856,2.4372778368143693,198,236
15_21_41,1055.33,218.2759607142857,2.4505027119580536,201,233
15_21_43,1057.41,219.2226892857143,2.9329797470002714,197,239
15_21_45,1059.50,218.0960892857143,2.3232979313343236,200,233
15_21_47,1061.58,217.61224285714286,2.646549256974417,197,234
15_21_49,1063.69,218.58201785714286,2.802803736510177,197,234
15_21_51,1065.76,217.70254285714284,2.8088707628598684,195,233
15_21_54,1067.87,218.09624642857142,2.417310529579478,203,233
15_21_56,1069.94,217.911725,2.52211440973711,202,232
15_21_58,1072.05,217.92880714285715,2.439160307495853,199,235
15_22_00,1074.13,217.74509285714285,2.4246695338788764,200,233
15_22_02,1076.23,218.64027857142858,3.1425684094562283,201,239
15_22_04,1078.31,218.83249642857143,2.732942497824609,202,234
15_22_06,1080.41,218.22966071428573,2.4827135699873817,201,234
15_22_08,1082.49,217.84983571428572,2.527357592740219,200,232
15_22_10,1084.60,218.6211607142857,2.7797389540642747,203,237
15_22_12,1086.68,218.1144607142857,2.5866240053175886,200,234
15_22_14,1088.79,218.6921,2.5555103803909147,198,233
15_22_17,1090.84,218.55116071428571,2.3834886816596152,198,233
15_22_19,1092.95,218.52909285714287,2.317123377923672,200,234
15_22_21,1095.03,218.40070357142858,2.4139366643043805,202,232
15_22_23,1097.13,218.3831392857143,2.454315587292731,194,233
15_22_25,1099.22,218.59448571428572,2.809906128288971,201,235
15_22_27,1101.30,218.30217142857143,2.3291245134564345,193,232
15_22_29,1103.38,218.63114642857144,2.3898536805153907,202,232
15_22_31,1105.48,218.730625,2.419583339739805,199,233
15_22_33,1107.58,218.16813214285713,2.3466844719965434,200,231
15_22_35,1109.68,218.6389607142857,2.597846070420549,198,234
15_22_37,1111.75,217.86351785714285,2.410298836622543,197,232
15_22_39,1113.86,218.639825,2.5526762646744188,201,233
15_22_42,1115.92,218.5387107142857,2.3664820292757778,201,232
15_22_44,1118.03,218.91447142857143,3.6740575865361276,190,240
15_22_46,1120.11,217.65872142857143,2.5268954005370117,195,233
15_22_48,1122.22,218.68220714285715,2.6172355617451144,201,235
15_22_50,1124.30,217.75733571428572,2.252963074679065,200,231
15_22_52,1126.40,218.703525,4.233723336338915,177,239
15_22_54,1128.47,218.8050607142857,2.269825849965349,191,231
15_22_56,1130.57,218.3302,2.454569375092678,201,234
15_22_58,1132.64,218.7601642857143,2.583584216080759,198,235
15_23_00,1134.75,218.12290714285714,2.429972276139405,199,233
15_23_02,1136.83,218.134425,2.478187253262381,200,233
15_23_05,1138.93,218.814525,2.553253335609996,200,233
15_23_07,1141.01,218.66212857142858,2.3962947673524675,198,232
15_23_09,1143.11,217.75161785714286,2.293429097529594,200,231
15_23_11,1145.20,218.4092107142857,3.096794451853088,186,238
15_23_13,1147.30,218.52427857142857,2.245877933866071,195,232
15_23_15,1149.37,218.8195,2.5027795476800816,202,233
15_23_17,1151.48,219.25707142857144,2.4578780036064125,199,234
15_23_19,1153.55,217.72148928571428,2.529611700134357,190,233
15_23_21,1155.65,218.23613928571427,3.8351940286955952,175,240
15_23_23,1157.74,217.90415357142857,2.6406051588579547,200,232
15_23_25,1159.84,217.2996892857143,2.710761077214727,201,233
15_23_28,1161.91,217.86880357142857,2.4048756273130607,195,232
15_23_30,1164.01,217.89595357142858,2.4385415836083757,199,231
15_23_32,1166.09,218.82301071428572,2.5492253318885614,200,234
15_23_34,1168.19,218.03841785714286,2.6199998221855956,200,232
15_23_36,1170.27,217.23497857142857,2.580428964803713,195,231
15_23_38,1172.37,218.62102857142858,3.6597202194837193,199,241
15_23_40,1174.45,217.9974892857143,2.321061360492419,198,232
15_23_42,1176.54,218.957375,2.7307117535184067,198,234
15_23_44,1178.64,218.4642107142857,2.7601367432273665,197,235
15_23_46,1180.72,218.78598214285714,2.9565145864144013,200,236
15_23_48,1182.83,218.16237142857142,2.4645283128619075,200,232
15_23_51,1184.90,218.11470714285716,2.7027022429847305,196,233
15_23_53,1187.00,218.2773,2.7828834729980545,199,233
15_23_55,1189.08,218.23603214285714,3.3523551804827743,197,238
15_23_57,1191.19,217.90418214285714,2.4214062492623656,201,231
15_23_59,1193.27,217.88538571428572,2.462688570258455,196,231
15_24_01,1195.36,217.36930357142856,2.6255619563087476,199,232
15_24_03,1197.45,217.51181785714286,3.8727596725216107,169,238
15_24_05,1199.54,218.939175,2.2960346947237102,198,233
15_24_07,1201.63,218.55178214285715,2.7351267995617903,196,235
15_24_09,1203.73,218.27741785714286,2.3868927897333645,202,232
15_24_11,1205.80,218.5648857142857,2.892493459890654,196,235
15_24_14,1207.91,218.30171785714285,2.508424073931902,198,232
15_24_16,1209.98,217.40519285714285,2.6840835424416514,191,233
15_24_18,1212.09,218.26306428571428,2.5941205575870825,198,234
15_24_20,1214.19,217.35577142857142,2.6812453618817216,190,232
15_24_22,1216.26,217.76076785714287,2.6849035862649266,199,234
15_24_24,1218.35,216.86105,2.7789849195730234,194,234
15_24_26,1220.46,217.80900714285715,2.7371792597396647,199,233
15_24_28,1222.53,217.8266392857143,2.7234431316467353,191,234
15_24_30,1224.62,217.57815,2.526308657833175,198,232
15_24_32,1226.71,217.65781071428572,2.5750387084246333,195,231
15_24_34,1228.81,217.1847,2.636492566433128,200,232
15_24_37,1230.88,218.49215714285714,2.6109281170589473,201,234
15_24_39,1232.98,218.53051071428573,2.6871515368560925,199,235
15_24_41,1235.07,217.85334285714285,2.7151438208984926,198,233
15_24_43,1237.17,217.59191785714285,2.8479367908507234,201,233
15_24_45,1239.25,217.9422857142857,2.5025011325406723,195,232
15_24_47,1241.35,217.69626785714286,2.615149613249904,201,235
15_24_49,1243.42,217.15011785714285,2.630974219419976,196,232
15_24_51,1245.53,217.98521785714286,2.6042038930974623,197,233
15_24_53,1247.60,217.82035357142857,2.5014357341595046,199,232
15_24_55,1249.70,217.85730714285714,3.0549426283984653,201,237
15_24_57,1251.78,218.43857142857144,2.926192936571479,197,234
15_25_00,1253.83,217.86953214285714,2.6745259117343143,195,234
15_25_02,1255.98,217.42215714285715,2.4940839551438767,196,232
15_25_04,1258.06,218.13068214285715,2.5286862835067954,199,234
15_25_06,1260.15,218.32382142857142,2.6408623531173,200,234
15_25_08,1262.24,217.9337642857143,2.8347244716467697,202,235
15_25_10,1264.35,218.46424285714286,2.907353975872289,193,235
15_25_12,1266.41,218.09020714285714,3.417071400642931,203,239
15_25_14,1268.52,217.63396428571428,2.7533881722880844,199,234
15_25_16,1270.60,217.47502857142857,2.7099903793789624,196,233
15_25_18,1272.69,218.19157142857142,2.75752484030479,203,234
15_25_20,1274.77,217.77654642857144,3.120031009688175,200,235
15_25_23,1276.88,217.45921071428572,2.4347617554084193,200,231
15_25_25,1278.95,217.745375,2.54919280685433,195,235
15_25_27,1281.05,218.46679642857143,2.538903944053438,200,232
15_25_29,1283.14,218.99655,2.903371603658163,195,235
15_25_31,1285.24,218.61905,2.440826548601343,201,233
